Rank,Player,Tm,FGM 0-49,FGM 50+,FGA,Total FGM,Extra Points Made
1,Harrison Butker,KAN,31,3,38,34,45
2,Wil Lutz,NOR,29,3,36,32,48
3,Zane Gonzalez,ARI,29,2,35,31,34
4,Matt Gay,TAM,22,5,35,27,43
5,Josh Lambo,JAX,29,4,34,33,19
6,Brandon McManus,DEN,25,4,34,29,25
7,Greg Zuerlein,LAR,19,5,33,24,42
8,Joey Slye,CAR,17,8,32,25,31
9,Chris Boswell,PIT,28,1,31,29,28
10,Randy Bullock,CIN,26,1,31,27,24
11,Robbie Gould,SFO,23,0,31,23,41
12,Matt Prater,DET,19,7,31,26,35
13,Dustin Hopkins,WAS,23,2,30,25,21
14,Brett Maher,DAL,16,4,30,20,36
15,Jason Sanders,MIA,20,3,30,23,29
16,Austin Seibert,CLE,24,1,29,25,30
17,Dan Bailey,MIN,24,3,29,27,40
18,Justin Tucker,BAL,27,1,29,28,57
19,Stephen Hauschka,BUF,21,1,28,22,30
20,Jason Myers,SEA,21,2,28,23,40
21,Eddy Pineiro,CHI,21,2,28,23,27
22,Sam Ficken,NYJ,16,3,27,19,23
23,Daniel Carlson,OAK,19,0,26,19,34
24,Jake Elliott,PHI,20,2,26,22,35
25,Younghoe Koo,ATL,22,1,26,23,15
26,Ka'imi Fairbairn,HOU,17,3,25,20,40
27,Adam Vinatieri,IND,15,2,25,17,22
28,Mason Crosby,GNB,21,1,24,22,40
29,Chase McLaughlin,3TM,15,3,23,18,26
30,Nick Folk,NWE,13,1,17,14,12
31,Aldrick Rosas,NYG,12,0,17,12,35
32,Michael Badgley,LAC,13,0,16,13,19
33,Matt Bryant,ATL,7,2,14,9,14
34,Kai Forbath,2TM,10,1,11,11,11
35,Ty Long,LAC,6,1,9,7,9
36,Cairo Santos,TEN,3,1,9,4,12
37,Stephen Gostkowski,NWE,7,0,8,7,11
38,Mike Nugent,NWE,5,0,8,5,15
39,Ryan Succop,TEN,1,0,6,1,24
40,Cody Parkey,TEN,2,1,3,3,5
41,Kaare Vedvik,NYJ,,0,1,,
42,Lac Edwards,NYJ,,,,,
43,Jake Bailey,NWE,,,,,
44,Pat O'Donnell,CHI,,,,,
45,Corey Bojorquez,BUF,,,,,
46,Tress Way,WAS,,,,,
47,Brett Kern,TEN,,,,,
48,Colby Wadman,DEN,,,,,
49,JK Scott,GNB,,,,,
50,Sam Martin,DET,,,,,
51,Logan Cooke,JAX,,,,,
52,Kevin Huber,CIN,,,,,
53,Michael Palardy,CAR,,,,,
54,Jordan Berry,PIT,,,,,
55,Michael Dickson,SEA,,,,,
56,Cameron Johnston,PHI,,,,,
57,Riley Dixon,NYG,,,,,
58,Matt Haack,MIA,,,,,
59,A.J. Cole,OAK,,,,,
60,Johnny Hekker,LAR,,,,,
61,Jamie Gillan,CLE,,,,,
62,Britton Colquitt,MIN,,,,,
63,Andy Lee,ARI,,,,,
64,Thomas Morstead,NOR,,,,,
65,Rigoberto Sanchez,IND,,,,,
66,Bradley Pinion,TAM,,,,,
67,Mitch Wishnowsky,SFO,,,,,
68,Chris Jones,DAL,,,,,
69,Dustin Colquitt,KAN,,,,,
70,Bryan Anger,HOU,,,,,
71,Sam Koch,BAL,,,,,
72,Ryan Allen,ATL,,,,,
73,Trevor Daniel,HOU,,,,,
74,Matthew Bosher,ATL,,,,,
75,Kasey Redfern,ATL,,,,,
76,Matt Wile,ATL,,,,,
77,Ryan Winslow,ARI,,,,,
78,Greg Joseph,TEN,,,,,9