name,team,games_played,rush_attempts,rush_yards,avg_yds_per_carry,rush_tds,rec_tgts,receptions,rec_yds,rec_tds,fumbles,fumbles_lost
Christian McCaffrey,CAR,16,287,1387,4.8,15,141,116,1005,4,1,0
Derrick Henry,TEN,15,303,1540,5.1,16,24,18,206,2,5,3
Aaron Jones,GB,16,236,1084,4.6,16,68,49,474,3,3,2
Ezekiel Elliott,DAL,16,301,1357,4.5,12,71,54,420,2,3,2
Dalvin Cook,MIN,14,250,1135,4.5,13,63,53,519,0,4,2
Nick Chubb,CLE,16,298,1494,5,8,49,36,278,0,3,3
Austin Ekeler,LAC,16,132,557,4.2,3,108,92,993,8,3,2
Mark Ingram II,BAL,15,202,1018,5,10,29,26,247,5,2,2
Chris Carson,SEA,15,278,1230,4.4,7,47,37,266,2,7,4
Saquon Barkley,NYG,13,217,1003,4.6,6,73,52,438,2,1,0
Joe Mixon,CIN,16,278,1137,4.1,5,45,35,287,3,0,0
Todd Gurley II,LAR,15,223,857,3.8,12,49,31,207,2,3,2
Leonard Fournette,JAX,15,265,1152,4.3,3,100,76,522,0,1,1
Josh Jacobs,LV,13,242,1150,4.8,7,27,20,166,0,1,1
Miles Sanders,PHI,16,179,818,4.6,3,63,50,509,3,2,1
Alvin Kamara,NO,14,171,797,4.7,5,97,81,533,1,4,1
Marlon Mack,IND,14,247,1091,4.4,8,17,14,82,0,0,0
Kenyan Drake,ARI,14,170,817,4.8,8,68,50,345,0,2,1
Phillip Lindsay,DEN,16,224,1011,4.5,7,48,35,196,0,0,0
Raheem Mostert,SF,16,137,772,5.6,8,22,14,180,2,2,2
Le'Veon Bell,NYJ,15,245,789,3.2,3,78,66,461,1,1,1
David Montgomery,CHI,16,242,889,3.7,6,35,25,185,1,2,2
Carlos Hyde,HOU,16,245,1070,4.4,6,16,10,42,0,4,2
Sony Michel,NE,16,247,912,3.7,7,20,12,94,0,2,1
Melvin Gordon III,LAC,12,162,612,3.8,8,55,42,296,1,4,3
Devonta Freeman,ATL,14,184,656,3.6,2,70,59,410,4,3,2
Ronald Jones II,TB,16,172,724,4.2,6,40,31,309,0,3,2
Adrian Peterson,WAS,15,211,898,4.3,5,23,17,142,0,3,2
James White,NE,15,67,263,3.9,1,95,72,645,5,1,1
Latavius Murray,NO,16,146,637,4.4,5,43,34,235,1,0,0
Devin Singletary,BUF,12,151,775,5.1,2,41,29,194,2,4,1
Tevin Coleman,SF,14,137,544,4,6,30,21,180,1,0,0
James Conner,PIT,10,116,464,4,4,38,34,251,3,1,1
Damien Williams,KC,11,111,498,4.5,5,37,30,213,2,1,1
Duke Johnson,HOU,16,83,410,4.9,2,62,44,410,3,1,1
Jamaal Williams,GB,14,107,460,4.3,1,45,39,253,5,0,0
David Johnson,ARI,13,94,345,3.7,2,47,36,370,4,1,1
Jordan Howard,PHI,10,119,525,4.4,6,14,10,69,1,0,0
Peyton Barber,TB,16,154,470,3.1,6,24,16,115,1,1,1
Royce Freeman,DEN,16,132,496,3.8,3,50,43,256,1,0,0
LeSean McCoy,KC,13,101,465,4.6,4,34,28,181,1,3,2
DeAndre Washington,LV,16,108,387,3.6,3,40,36,292,0,0,0
Gus Edwards,BAL,16,133,711,5.3,2,8,7,45,0,2,1
Tarik Cohen,CHI,16,64,213,3.3,0,104,79,456,3,3,0
Matt Breida,SF,13,123,623,5.1,1,22,19,120,1,2,1
Frank Gore,BUF,16,166,599,3.6,2,16,13,100,0,0,0
Kerryon Johnson,DET,8,113,403,3.6,3,15,10,127,1,1,1
Tony Pollard,DAL,15,86,455,5.3,2,20,15,107,1,1,1
Rex Burkhead,NE,13,65,302,4.6,3,38,27,279,0,1,1
Boston Scott,PHI,11,61,245,4,5,26,24,204,0,4,1